#set_width(auto),10,10,5,auto,10,auto,10,
# Do not change the Green Color,,,,,,,,,,,,,,,,,
#this is update time of  header each file.,,,,,,,,,,,,,,,,,
#set_color(lightgreen),
[HEADER]Author,,,,,,,,,,,,,,,,,
LGE_worker@lge.com,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"#(red)this is a single variable not hash.  +<+$VARIABLE{""Date""}+>+",,,,,,,,,,,,,,,,,
# (green) this is update time of  header each file.,,,,,,,,,,,,,,,,,
#set_color(lightgreen),lightgreen,
[VARIABLE]Version,3.0.00,,,,,,,,,,,,,,,,
[VARIABLE]Date,2020.12.11,,,,,,,,,,,,,,,,
[VARIABLE]CGA_RDL_Version,v1.0.4,,# support sldd,,,,,,,,,,,,,,
[VARIABLE]Excel_Version,v2.9.8,,# it is related to the verion of excel_version file.,,# add asyncHandler column & [HEADER]no_tidl_receiver_XXX & [HEADER]no_tidl_callback__XXX_BnXXX_,,,# 2020.05.18,,,,,,,,,
[VARIABLE]git,git://vgit.lge.com:29420/tiger/services/TIDLManagerService,,,,# change into your git address : it is mendatory,,,,,,,,,,,,
[VARIABLE]protocol,,,,,"# ""http"" if you use mod.lge.com/hub as git instread of vgit",,,,,,,,,,,,
#set_color(lightgreen),white,
[VARIABLE]debug,ON,,,,"# if ON , debug print code will be added.  (default : OFF)",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[VARIABLE]Module_Name,tidl,,,,,,,,,,,,,,,,

#set_color(white),white
[HEADER]Module_Name,Description,,,,,,,,,,,,,,,,
tidl,TIDL service manager,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
[VARIABLE]testScript,TRUE,,,,,,,,,,,,,,,,
[VARIABLE]App_Tidl,FALSE,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,#default : name+Len if type uint8_t*,,,,,,,#default : synchronous call,,,,,
# this is comments.  (1_excel.pl ignores this row as comments when starts with #.),,,,,,# optional argument,#argument description,#api description,,#in/out,# for UTS (argument count),#async on handler,,,,,
#set_color(lightgreen),lightblue,lightgreen,lightblue,,,,lightgreen,lightblue,,,orange,
[HEADER]API,[HEADER]Order,name,type,init,Len,isOptArg,Description,apiDescription,mode,inOut,utsArgCount,asyncHandler,,,,,
TIDL_COMMON_API_0,1,,,,,,,,Normal,,0,,,,,,
TIDL_COMMON_API_1,1,switchOff,int32_t,0,,,desc it is switch off <br> when you want to power off.,api 1 desc,Normal,"in,out",1,,,,,,
TIDL_COMMON_API_2_get_str,1,str,uint8_t*,"""1,2,3""",strLen,,desc : this is another example <p> add line,api desc,Normal,out,2,,,,,,
TIDL_COMMON_API_2_get_int,1,getN,int32_t,345,,,desc,api desc,Normal,out,1,,,,,,
TIDL_COMMON_API_3_enum,1,Edidxx,ETidlDid,ETidlDid::DID1,,O,desc string data,api desc,Normal,in,1,,,,,,
TIDL_COMMON_API_3_class,1,CTidlDidxx,CTidlDid,,,,desc,api desc,Normal,out,1,,,,,,
TIDL_COMMON_API_4_two,1,sDTC,uint32_t,0,,,desc,api desc,Normal,in,2,,,,,,
,2,CTiIxx,CTidlItaly,,,,desc,api 2 desc,Normal,out,,,,,,,
TIDL_COMMON_API_5,1,dd,double,0.72,,,desc,api desc,Normal,out,3,,,,,,
TIDL_COMMON_API_5,2,str,uint8_t*,"""1,2,3""",strLen,,desc : this is another example <p> add line,api desc,Normal,out,,,,,,,
TIDL_COMMON_API_6,1,CTiDataxx,CTidlData,,,,desc,api desc,Normal,out,2,asyncMain,,,,,
,2,ft,float,0.125,,,7 float (first argument),api with multiple argument including float,Normal,"in,out",,,,,,,
TIDL_COMMON_API_7,1,fTest1,float,0.125,,,7 float (first argument),api with multiple argument including float,Normal,"in,out",4,main,,,,,
TIDL_COMMON_API_7,2,xx7,CTidlData,,,,7 CTidlDid,,Normal,in,,,,,,,
TIDL_COMMON_API_7,3,st7,CTidlItaly,,,,7 string,,Normal,out,,,,,,,
TIDL_COMMON_API_7,4,fTest4,ETidlSignal,ETidlSignal::DID1234,,O,7 float (4th argument),,Normal,in,,,,,,,
TIDL_COMMON_API_8,1,rcv,TidlStatusReceiver,,,,8 receiver,receiver arguments test,Normal,in,2,,,,,,
#set_color(lightgreen),orange,lightgreen,orange,,,,lightgreen,lightblue,,,orange,
,2,nn,int32_t,1234,,O,8 nn int32_,,Normal,in,,,,,,,
,,,,  ,,    ,,,,,,,,,,,
